"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"92.02","24699.7","4057.7","0","3559","32537.9","15132.7","1822155","91575574","103215437824"
"92.38","24698.9","4057.7","0","3559","32537.9","15134.4","1822552","91658013","103548901376"
"92.74","24695","4057.7","0","3558","32537.2","15132.4","1823052","91714497","103716509696"
"93.07","24680.1","4057.7","0","3559","32526.5","15132.8","1823063","91714578","103716644864"
"93.42","24682.3","4057.7","0","3559","32529.1","15136.7","1823137","91728161","103811971072"
"93.77","24698.6","4057.7","0","3559","32537.7","15131","1823338","91750574","103864146944"
"94.13","24688.1","4057.7","0","3559","32544.2","15142.3","1823374","91751544","103868640256"
"94.49","24695.2","4057.7","0","3559","32538.4","15143","1823439","91758878","103951268864"
"94.85","24685.6","4057.7","0","3559","32539.1","15142.2","1823590","91793555","104040098816"
"95.21","24683.8","4057.7","0","3559","32537.4","15138.8","1823604","91794696","104048278016"
"95.58","24664.4","4057.7","0","3559","32519.9","15142.4","1823663","91795565","104049342976"
"95.94","24676.2","4057.7","0","3559","32540.7","15142.6","1823799","91812374","104187390464"
"96.31","24688.3","4057.7","0","3558","32537.3","15140.4","1824152","91887358","104499755520"
"96.67","24681","4057.7","0","3558","32537.9","15139.5","1824560","91964909","104805874176"
"97.04","24691.3","4057.7","0","3558","32537.9","15139.9","1824926","92047067","105147120128"
"97.42","24689.1","4057.7","0","3558","32537.9","15138.5","1825331","92127329","105407229440"
"97.79","24689.1","4057.7","0","3558","32536.9","15139.4","1825532","92168361","105659125248"
"98.16","24683.3","4057.7","0","3558","32537.9","15139.9","1825929","92250773","105980956160"
"98.55","24684","4057.7","0","3558","32537.9","15139.2","1826363","92329343","106311450112"
"98.92","24894.1","4057.7","0","3558","32537.9","14825.2","1826831","92429298","106714299904"
"99.29","24902.4","4057.7","0","3558","32537.2","14819.8","1826995","92451071","106800127488"
"99.67","24927.5","4057.7","0","3558","32537.9","14787.6","1827461","92538126","107170520064"
"100.05","24930.2","4057.7","0","3558","32537.9","14784.7","1827914","92632580","107559492608"
"100.41","24924.5","4057.7","0","3558","32537.9","14785.6","1828298","92716786","107888688128"
"100.76","24923.2","4057.7","0","3558","32537.9","14786","1828733","92775809","108063350784"
"101.13","24885.8","4057.7","0","3558","32503.1","14784.3","1828737","92775841","108063481856"
"101.5","24927.1","4057.7","0","3558","32540.6","14783.1","1828977","92810789","108206710784"
"101.85","24887.4","4057.7","0","3558","32506.2","14785.1","1828998","92811864","108214808576"
"102.2","24894.4","4057.7","0","3558","32519.7","14785.3","1829058","92812966","108219711488"
"102.56","24894.9","4057.7","0","3558","32539.6","14787.2","1829180","92829794","108287582208"
"102.92","24724.7","4057.7","0","3558","32538","14787.1","1829230","92842338","108358115328"
"103.3","24725.3","4057.7","0","3558","32535.5","14786.7","1829294","92852512","108377489408"
"103.64","24725.3","4057.7","0","3558","32543.7","14788.5","1829294","92852512","108377489408"
